               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.076552,            0.037696,                   0,             0.66708,             0.60421,             0.64601,             0.27678,            0.048477,            0.033537,                   0,            0.070053,           0.0033274,           0.0033274
                   1,            0.051757,              0.0307,                   0,             0.71961,             0.75677,             0.74105,             0.35956,            0.041219,            0.030382,                   0,            0.039921,           0.0065289,           0.0065289
